case,control,warp_type,configured_iterations,configured_scale,mode,comparison,edit_ssim,edit_psnr,edit_l2,arcface_edit_cosine_similarity,left_edit_path,right_edit_path
image2_black_jacket,all_iter50_scale05,all,50.0,0.5,combined,delta_increment_after_reconstruction,0.4291643798351288,9.96090258451044,0.3176543966484137,0.16950081288814545,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/combined/learned_delta_only_edit.png
image2_black_jacket,all_iter50_scale05,all,50.0,0.5,combined,geometry_on_original_effect,0.9284209609031677,31.63471570508257,0.026197763349957867,0.9803228378295898,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/combined/learned_geometry_on_original_edit.png
image2_black_jacket,all_iter50_scale05,all,50.0,0.5,combined,geometry_on_reconstruction_effect,0.9168968200683594,19.25188355432415,0.1089948109104671,0.8464478254318237,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/combined/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,all_iter50_scale05,all,50.0,0.5,combined,geometry_increment_after_delta,0.8640737533569336,27.885230724171947,0.040340238710525424,0.6497079133987427,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/combined/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/combined/learned_combined_edit.png
image2_black_jacket,all_iter50_scale05,all,50.0,0.5,geometry_only_original,delta_increment_after_reconstruction,1.0,,0.0,1.0,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_original/learned_delta_only_edit.png
image2_black_jacket,all_iter50_scale05,all,50.0,0.5,geometry_only_original,geometry_on_original_effect,0.7196228504180908,22.152723200376457,0.07804837045010095,0.6986256837844849,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_original/learned_geometry_on_original_edit.png
image2_black_jacket,all_iter50_scale05,all,50.0,0.5,geometry_only_original,geometry_on_reconstruction_effect,0.6063485145568848,16.20795225693296,0.154739926826903,0.6520691514015198,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_original/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,all_iter50_scale05,all,50.0,0.5,geometry_only_original,geometry_increment_after_delta,0.6063485145568848,16.20795225693296,0.154739926826903,0.6520691514015198,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_original/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_original/learned_combined_edit.png
image2_black_jacket,all_iter50_scale05,all,50.0,0.5,geometry_only_reconstruction,delta_increment_after_reconstruction,1.0,,0.0,1.0,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_reconstruction/learned_delta_only_edit.png
image2_black_jacket,all_iter50_scale05,all,50.0,0.5,geometry_only_reconstruction,geometry_on_original_effect,0.5589001178741455,17.238898718853406,0.13742162003962474,0.551926851272583,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_reconstruction/learned_geometry_on_original_edit.png
image2_black_jacket,all_iter50_scale05,all,50.0,0.5,geometry_only_reconstruction,geometry_on_reconstruction_effect,0.5443782210350037,15.505865841904026,0.16776706541348485,0.35932886600494385,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,all_iter50_scale05,all,50.0,0.5,geometry_only_reconstruction,geometry_increment_after_delta,0.5443782210350037,15.505865841904026,0.16776706541348485,0.35932886600494385,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_reconstruction/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__all_iter50_scale05/geometry_only_reconstruction/learned_combined_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,combined,delta_increment_after_reconstruction,0.430601567029953,9.96716121052973,0.31742559291381334,0.2802791893482208,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_delta_only_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,combined,geometry_on_original_effect,0.9823138117790222,38.55579307460608,0.011808924508320804,0.992997944355011,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_geometry_on_original_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,combined,geometry_on_reconstruction_effect,0.9829422831535339,29.813926239600374,0.03230752492261394,0.9182032942771912,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,combined,geometry_increment_after_delta,0.991161048412323,38.858076685103924,0.011405023008114341,0.9917661547660828,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/combined/learned_combined_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,geometry_only_original,delta_increment_after_reconstruction,1.0,,0.0,1.0,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_original/learned_delta_only_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,geometry_only_original,geometry_on_original_effect,0.8930761814117432,29.72381131209913,0.03264445589834447,0.9285014271736145,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_original/learned_geometry_on_original_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,geometry_only_original,geometry_on_reconstruction_effect,0.8909744620323181,18.718814553853335,0.1158935516338135,0.8089876174926758,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_original/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,geometry_only_original,geometry_increment_after_delta,0.8909744620323181,18.718814553853335,0.1158935516338135,0.8089876174926758,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_original/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_original/learned_combined_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,geometry_only_reconstruction,delta_increment_after_reconstruction,1.0,,0.0,1.0,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_reconstruction/learned_delta_only_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,geometry_only_reconstruction,geometry_on_original_effect,0.932925283908844,32.05334284224086,0.024965074010624835,0.9686986207962036,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_original_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,geometry_only_reconstruction,geometry_on_reconstruction_effect,0.7722158432006836,17.29321836543994,0.13656489707318242,0.7359975576400757,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,bspline_iter100_scale1,bspline,100.0,1.0,geometry_only_reconstruction,geometry_increment_after_delta,0.7722158432006836,17.29321836543994,0.13656489707318242,0.7359975576400757,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_reconstruction/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale1/geometry_only_reconstruction/learned_combined_edit.png
image2_black_jacket,bspline_iter100_scale2,bspline,100.0,2.0,combined,delta_increment_after_reconstruction,0.42876914143562317,9.962754875809424,0.31758666314428335,0.29410696029663086,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/combined/learned_delta_only_edit.png
image2_black_jacket,bspline_iter100_scale2,bspline,100.0,2.0,combined,geometry_on_original_effect,0.9826748371124268,39.17885397123944,0.010991508534087245,0.9962578415870667,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/combined/learned_geometry_on_original_edit.png
image2_black_jacket,bspline_iter100_scale2,bspline,100.0,2.0,combined,geometry_on_reconstruction_effect,0.9491333961486816,20.26397764044772,0.0970065630961123,0.8602845668792725,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/combined/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/combined/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,bspline_iter100_scale2,bspline,100.0,2.0,combined,geometry_increment_after_delta,0.9902135729789734,35.63177610570985,0.016535266342186345,0.9815462827682495,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/combined/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/combined/learned_combined_edit.png
image2_black_jacket,bspline_iter100_scale2,bspline,100.0,2.0,geometry_only_original,delta_increment_after_reconstruction,1.0,,0.0,1.0,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_original/learned_delta_only_edit.png
image2_black_jacket,bspline_iter100_scale2,bspline,100.0,2.0,geometry_only_original,geometry_on_original_effect,0.8806090950965881,29.258619177136985,0.03444046774932483,0.9113713502883911,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_original/learned_geometry_on_original_edit.png
image2_black_jacket,bspline_iter100_scale2,bspline,100.0,2.0,geometry_only_original,geometry_on_reconstruction_effect,0.8789927959442139,18.678641781441133,0.11643080788345717,0.7685015201568604,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_original/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,bspline_iter100_scale2,bspline,100.0,2.0,geometry_only_original,geometry_increment_after_delta,0.8789927959442139,18.678641781441133,0.11643080788345717,0.7685015201568604,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_original/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_original/learned_combined_edit.png
image2_black_jacket,bspline_iter100_scale2,bspline,100.0,2.0,geometry_only_reconstruction,delta_increment_after_reconstruction,1.0,,0.0,1.0,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_reconstruction/learned_delta_only_edit.png
image2_black_jacket,bspline_iter100_scale2,bspline,100.0,2.0,geometry_only_reconstruction,geometry_on_original_effect,0.9227499961853027,31.67225812063584,0.026084774939747337,0.9609951972961426,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_reconstruction/learned_geometry_on_original_edit.png
image2_black_jacket,bspline_iter100_scale2,bspline,100.0,2.0,geometry_only_reconstruction,geometry_on_reconstruction_effect,0.4665392339229584,10.105732327553994,0.3124016964790338,0.3086184859275818,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,bspline_iter100_scale2,bspline,100.0,2.0,geometry_only_reconstruction,geometry_increment_after_delta,0.4665392339229584,10.105732327553994,0.3124016964790338,0.3086184859275818,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_reconstruction/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__bspline_iter100_scale2/geometry_only_reconstruction/learned_combined_edit.png
image2_black_jacket,diffgeom_iter50_scale05,diffgeom,50.0,0.5,geometry_only_original,delta_increment_after_reconstruction,1.0,,0.0,1.0,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/geometry_only_original/learned_delta_only_edit.png
image2_black_jacket,diffgeom_iter50_scale05,diffgeom,50.0,0.5,geometry_only_original,geometry_on_original_effect,0.7739410996437073,24.283705784813353,0.06106814256031112,0.8316121697425842,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/geometry_only_original/learned_geometry_on_original_edit.png
image2_black_jacket,diffgeom_iter50_scale05,diffgeom,50.0,0.5,geometry_only_original,geometry_on_reconstruction_effect,0.7731806635856628,18.299591310916945,0.12162432260608907,0.8250032663345337,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/geometry_only_original/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,diffgeom_iter50_scale05,diffgeom,50.0,0.5,geometry_only_original,geometry_increment_after_delta,0.7731806635856628,18.299591310916945,0.12162432260608907,0.8250032663345337,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/geometry_only_original/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/geometry_only_original/learned_combined_edit.png
image2_black_jacket,diffgeom_iter50_scale05,diffgeom,50.0,0.5,geometry_only_reconstruction,delta_increment_after_reconstruction,1.0,,0.0,1.0,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/geometry_only_reconstruction/learned_delta_only_edit.png
image2_black_jacket,diffgeom_iter50_scale05,diffgeom,50.0,0.5,geometry_only_reconstruction,geometry_on_original_effect,0.8167417645454407,26.184922894854175,0.049062972351248395,0.8234291672706604,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/geometry_only_reconstruction/learned_geometry_on_original_edit.png
image2_black_jacket,diffgeom_iter50_scale05,diffgeom,50.0,0.5,geometry_only_reconstruction,geometry_on_reconstruction_effect,0.6124983429908752,14.915628209833704,0.17956371812244604,0.602279543876648,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,diffgeom_iter50_scale05,diffgeom,50.0,0.5,geometry_only_reconstruction,geometry_increment_after_delta,0.6124983429908752,14.915628209833704,0.17956371812244604,0.602279543876648,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/geometry_only_reconstruction/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__diffgeom_iter50_scale05/geometry_only_reconstruction/learned_combined_edit.png
image2_black_jacket,rolling_iter100_scale1,rolling,100.0,1.0,geometry_only_original,delta_increment_after_reconstruction,1.0,,0.0,1.0,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_delta_only_edit.png
image2_black_jacket,rolling_iter100_scale1,rolling,100.0,1.0,geometry_only_original,geometry_on_original_effect,0.9588673114776611,34.599595558602644,0.018621738431130564,0.9892768859863281,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_geometry_on_original_edit.png
image2_black_jacket,rolling_iter100_scale1,rolling,100.0,1.0,geometry_only_original,geometry_on_reconstruction_effect,0.9729284644126892,31.83880146829808,0.025589389604542837,0.9529613852500916,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_geometry_on_reconstruction_edit.png
image2_black_jacket,rolling_iter100_scale1,rolling,100.0,1.0,geometry_only_original,geometry_increment_after_delta,0.9729284644126892,31.83880146829808,0.025589389604542837,0.9529613852500916,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_delta_only_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_original/learned_combined_edit.png
image2_black_jacket,rolling_iter100_scale1,rolling,100.0,1.0,geometry_only_reconstruction,delta_increment_after_reconstruction,1.0,,0.0,1.0,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_delta_only_edit.png
image2_black_jacket,rolling_iter100_scale1,rolling,100.0,1.0,geometry_only_reconstruction,geometry_on_original_effect,0.9198746085166931,29.028228467007004,0.03536621450044708,0.9700611233711243,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/clean_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_original_edit.png
image2_black_jacket,rolling_iter100_scale1,rolling,100.0,1.0,geometry_only_reconstruction,geometry_on_reconstruction_effect,0.4640873372554779,10.032065837394002,0.3150624951743058,0.3499895930290222,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/vae_reconstruction_edit.png,/home/interns/Desktop/amit_code/targeted_experiments/geometry_depth_strength_controls/image2_black_jacket__rolling_iter100_scale1/geometry_only_reconstruction/learned_geometry_on_reconstruction_edit.png
